id,region,label,label_morph_BLEACHED,label_morph,global_label,Dominant_morphologies,fg_global,full_name,grr,grr_description
127,Indian Ocean,SINV_HYD,OTHER,OTHER,OTHER,mobile invertebrates,Other Invertebrates,Hydroids feathery types,OTH-SINV,Other sesile invertebrates: bryozoa; clams; tunicates (ascidians); soft hexacorrallia; hydroids
128,Indian Ocean,SINV_OTH,OTHER,OTHER,OTHER,mobile invertebrates,Other Invertebrates,Other sesile invertebrates Bryozoa clams ,OTH-SINV,Other sesile invertebrates: bryozoa; clams; tunicates (ascidians); soft hexacorrallia; hydroids
129,Indian Ocean,SINV_SFC_A,OTH-SF,OTH-SF,OTH-SF,encrusting and erect,Soft Coral,Common LRG Alcyoniide ,ALC-SF,Soft coral family Alcyoniidae; genera Lobophytum and Sarcophyton
130,Indian Ocean,SINV_SFC_E,GORG,GORG,GORG,mixed soft,Soft Coral,Sea fans/plumes/branching whipes,SINV_SFC_E,Sea fans; whips; plumes
131,Indian Ocean,SINV_SFC_O,OTH-SF,OTH-SF,OTH-SF,encrusting and erect,Soft Coral,Other soft-corals no common Alcyoniidae and e,OTH-SF,Other soft-corals outside of the common Alcyoniidae and erect forms (sea fans plumes whips): e.g. Xeniidae; Nepthtydae; Tubipora; Briareum; Heliopora
132,Indian Ocean,SINV_SPO_C,SPONG,SPONG,SPONG,mixed sponges,Other Invertebrates,Encrusting Cliona spp.,Cliona,Encrusting Cliona spp.
133,Indian Ocean,SINV_SPO_F,SPONG,SPONG,SPONG,mixed sponges,Other Invertebrates,Sponges: Fan shaped forms,SpOTH,Other sponges (outside massive/encrusting morphologies and Cliona)
134,Indian Ocean,SINV_SPO_M,SPONG,SPONG,SPONG,mixed sponges,Other Invertebrates,Massive or encrusting sponges ,SpMass,Massive or encrusting sponges 
135,Indian Ocean,SINV_TUN,OTHER,OTHER,OTHER,mobile invertebrates,Other Invertebrates,Individual Tunicates ,OTH-SINV,Other sesile invertebrates: bryozoa; clams; tunicates (ascidians); soft hexacorrallia; hydroids
136,Indian Ocean,TFP_RDG_Al,FLP,FLP,FLP,"foliose, laminar, plate",Hard corals,TFP: Visible Relief Structures ,FOLI,Thin Foliose and Plate colonies (excluding genera Acropora Porites) with/without  visible relief structure: e.g. Echinophyllia; Turbinaria; Montipora; Echinopora
137,Indian Ocean,TFP_RND_Al,FLP,FLP,FLP,"foliose, laminar, plate",Hard corals,TFP: Visible Round Corallites ,FOLI,Thin Foliose and Plate colonies (excluding genera Acropora Porites) with/without  visible relief structure: e.g. Echinophyllia; Turbinaria; Montipora; Echinopora
138,Indian Ocean,TFP_SMO_Po,MSE,MSE,MSE,"massive, sub-massive, encrusting",Hard corals,TFP: Porites ,POR-ENC,Family Poritidae; encrusting morphology e.g.  P. lichen
139,Indian Ocean,Trans,NAN,NAN,NAN,NAN,Other,Transect hardware ,OTHER,Other including fish; trash; transect hardware; unknown
140,Indian Ocean,Unc,EAM/CCA,EAM/CCA,EAM,Multi-specific algal assemblage smothering reef surface 1 cm or less in height,Algae,Unclear ,EAM,Multi-specific assemblages of filamentous algae < 1 cm in height
141,Indian Ocean,Unk,NAN,NAN,NAN,NAN,Other,Unknown ,OTHER,Other including fish; trash; transect hardware; unknown
142,Southeast Asia,ALGAE_OTH,MACRO,MACRO,MACRO,"Upright macroalgae > 1 cm in height, Cyanobacteria",Algae,Other algae ,MALG,Upright macroalgae > 1 cm in height  (all genera and species)
143,Southeast Asia,BRA_ARB_Ac,ACR_BRA,ACR_BRA,ACR_BRA,branching and hispidose ,Hard corals,BRA: Acropora Branching,ACR-BRA,Family Acroporidae; branching morphology (including hispidose type branching)
144,Southeast Asia,BRA_BLC,ACR_BRA_BL,ACR_BRA,BL,NA,Hard corals,Branching bleached,BRA_OTH,Other branching genera including: Seriatopora; Anacropora; Echinopora; Montipora; TuACR_BRAstrea (excluding Pocillopora and Stylophora)
145,Southeast Asia,BRA_BOT_Ac,ACR-HIP,ACR-HIP,ACR_BRA,branching and hispidose ,Hard corals,BRA: Acropora Bottlebrush,ACR-BRA,Family Acroporidae; branching morphology (including hispidose type branching)
146,Southeast Asia,BRA_DIG_Ac,ACR_TCD,ACR_TCD,ACR_TCD,"table, corymbose and digitate",Hard corals,Acropora digitate,ACR-TCD,Family Acroporidae; table; corymbose and digitate morphologies
147,Southeast Asia,BRA_FIN_Se,BRA_nACR,BRA_nACR,BRA_nACR,branching,Hard corals,Fine branching nonAcroporids Seriatopora,BRA_OTH,Other branching genera including: Seriatopora; Anacropora; Echinopora; Montipora; TuACR_BRAstrea (excluding Pocillopora and Stylophora)
148,Southeast Asia,BRA_OTH,BRA_nACR,BRA_nACR,BRA_nACR,branching,Hard corals,Other branching genus: Anacropora/Echinopora/,BRA_OTH,Other branching genera including: Seriatopora; Anacropora; Echinopora; Montipora; TuACR_BRAstrea (excluding Pocillopora and Stylophora)
149,Southeast Asia,BRA_RND_St,BRA_nACR,BRA_nACR,BRA_nACR,branching,Hard corals,Branching Stylophora,BRA_RND_St,Branching Stylophora
150,Southeast Asia,BRA_SMO_Po,BRA_nACR,BRA_nACR,BRA_nACR,branching,Hard corals,Branching Porites,POR-BRA,Family Poritidae; branching morphology e.g. P. cylindrica
151,Southeast Asia,BRA_TAB-Ac,ACR_TCD,ACR_TCD,ACR_TCD,"table, corymbose and digitate",Hard corals,Acropora corymbose/tabular/plate ,ACR-TCD,Family Acroporidae; table; corymbose and digitate morphologies
152,Southeast Asia,BRA_VER_Po,POCI,POCI,BRA_nACR,branching,Hard corals,Pocillopora species,POCI,Family Pocilloporidae; all genera (excluding  Stylophora) and species 
153,Southeast Asia,CAL_CCA_DC,EAM/CCA,EAM/CCA,CCA,encrusting algae,Algae,Calcifying calcareous crustose algae: DHC ,CCA,Crustose coralline algae
154,Southeast Asia,CAL_CCA_RB,EAM/CCA,EAM/CCA,CCA,encrusting algae,Algae,Calcifying Calcareous Crustose Algae: Rubble,CCA,Crustose coralline algae
155,Southeast Asia,CAL_CCA_S,EAM/CCA,EAM/CCA,CCA,encrusting algae,Algae,Calcifying Calcareous Crustose Algae: Sustrat,CCA,Crustose coralline algae
156,Southeast Asia,CYANO_DHC,MACRO,MACRO,MACRO,"Upright macroalgae > 1 cm in height, Cyanobacteria",Algae,Cyanobacteria smothering dead coral ,CYANO,Cyanobacteria
157,Southeast Asia,CYANO_RB,MACRO,MACRO,MACRO,"Upright macroalgae > 1 cm in height, Cyanobacteria",Algae,Cyanobacteria smothering rubble,CYANO,Cyanobacteria
158,Southeast Asia,CYANO_Sub,MACRO,MACRO,MACRO,"Upright macroalgae > 1 cm in height, Cyanobacteria",Algae,Cyanobacteria on rock or other substrates,CYANO,Cyanobacteria
159,Southeast Asia,EAM_DHC,EAM/CCA,EAM/CCA,EAM,Multi-specific algal assemblage smothering reef surface 1 cm or less in height,Algae,EAM: Dead Hard Coral ,EAM,Multi-specific assemblages of filamentous algae < 1 cm in height
160,Southeast Asia,EAM_RB,EAM/CCA,EAM/CCA,EAM,Multi-specific algal assemblage smothering reef surface 1 cm or less in height,Algae,Epilithic algal matirx smotheting rubble,EAM,Multi-specific assemblages of filamentous algae < 1 cm in height
161,Southeast Asia,EAM_Sub,EAM/CCA,EAM/CCA,EAM,Multi-specific algal assemblage smothering reef surface 1 cm or less in height,Algae,Epilithic algal matrix on rock or other subst,EAM,Multi-specific assemblages of filamentous algae < 1 cm in height
162,Southeast Asia,FISH,NAN,NAN,NAN,NAN,Other,Fish,OTHER,Other including fish; trash; transect hardware; unknown
163,Southeast Asia,GEAR,NAN,NAN,NAN,NAN,Other,Fishing gear,OTHER,Other including fish; trash; transect hardware; unknown
164,Southeast Asia,H20,NAN,NAN,NAN,NAN,Other,Water,WATER,Water
165,Southeast Asia,LSUB_RUB,EAM/CCA,EAM/CCA,EAM,Multi-specific algal assemblage smothering reef surface 1 cm or less in height,Algae,Loose Substrate: Rubble,EAM,Multi-specific assemblages of filamentous algae < 1 cm in height
166,Southeast Asia,LSUB_SAND,NON_COLONIZABLE,NON_COLONIZABLE,NON_COLONIZABLE,unconsolidated,Other,Loose Substrate: Sand,Sand,Sand. Unconsolidated reef sediment
167,Southeast Asia,LSUB_SEDI,NON_COLONIZABLE,NON_COLONIZABLE,NON_COLONIZABLE,unconsolidated,Other,Loose Substrate: Sediment,Sediment,Terrigenous sediments
168,Southeast Asia,MACR_Cal_H,MACRO,MACRO,MACRO,"Upright macroalgae > 1 cm in height, Cyanobacteria",Algae,Calcifying algae: Halimeda ,MALG,Upright macroalgae > 1 cm in height  (all genera and species)
169,Southeast Asia,MACR_Cal_O,MACRO,MACRO,MACRO,"Upright macroalgae > 1 cm in height, Cyanobacteria",Algae,Calcifying algae: Other,MALG,Upright macroalgae > 1 cm in height  (all genera and species)
170,Southeast Asia,MACR_Cal_P,MACRO,MACRO,MACRO,"Upright macroalgae > 1 cm in height, Cyanobacteria",Algae,Calcifying macroalgae: Padina,MALG,Upright macroalgae > 1 cm in height  (all genera and species)
171,Southeast Asia,MACR_Fil_A,MACRO,MACRO,MACRO,"Upright macroalgae > 1 cm in height, Cyanobacteria",Algae,Filamentous Macroalgae ,MALG,Upright macroalgae > 1 cm in height  (all genera and species)
172,Southeast Asia,MACR_Fol_B,MACRO,MACRO,MACRO,"Upright macroalgae > 1 cm in height, Cyanobacteria",Algae,Foliose Strap/ Branched algae,MALG,Upright macroalgae > 1 cm in height  (all genera and species)
173,Southeast Asia,MACR_Fol_F,MACRO,MACRO,MACRO,"Upright macroalgae > 1 cm in height, Cyanobacteria",Algae,Foliose Fan shaped algae,MALG,Upright macroalgae > 1 cm in height  (all genera and species)
174,Southeast Asia,MACR_Fol_O,MACRO,MACRO,MACRO,"Upright macroalgae > 1 cm in height, Cyanobacteria",Algae,Foliose Algae: Other,MALG,Upright macroalgae > 1 cm in height  (all genera and species)
175,Southeast Asia,MACR_Fol_P,MACRO,MACRO,MACRO,"Upright macroalgae > 1 cm in height, Cyanobacteria",Algae,Foliose Feathery algae,MALG,Upright macroalgae > 1 cm in height  (all genera and species)
176,Southeast Asia,MACR_Fol_S,MACRO,MACRO,MACRO,"Upright macroalgae > 1 cm in height, Cyanobacteria",Algae,Foliose sheeting macroalage: (e.g Ulva),MALG,Upright macroalgae > 1 cm in height  (all genera and species)
177,Southeast Asia,MACR_GLOB,MACRO,MACRO,MACRO,"Upright macroalgae > 1 cm in height, Cyanobacteria",Algae,Algae: Large Visible Globules,MALG,Upright macroalgae > 1 cm in height  (all genera and species)
178,Southeast Asia,MACR_LTH_O,MACRO,MACRO,MACRO,"Upright macroalgae > 1 cm in height, Cyanobacteria",Algae,Leathery Macrophyte: Other,MALG,Upright macroalgae > 1 cm in height  (all genera and species)
179,Southeast Asia,MASE_BLC,OTH-HC,OTH-HC,BL,NA,Hard corals,Massive/Submassive/Encrusting bleached,OTH-HC,Other hard coral including all other groups not represented by the other coral categories in Southeast Asia (e.g. Fungia; bleached colonies)
180,Southeast Asia,MASE_LRG_I,MSE,MSE,MSE,"massive, sub-massive, encrusting",Hard corals,MASE: Isopora,ACR-OTH,Other corals from the family Acroporidae (e.g. Isopora)
181,Southeast Asia,MASE_LRG_O,MSE,MSE,MSE,"massive, sub-massive, encrusting",Hard corals,MASE: Large Rounded Polyps ,MASE_LRG_O,Massive Submassive Encrusting colonies with large visible rounded polyps: Diploastrea; Favia; Favites; Montastraea; Galaxea; Goniopora; Astreopora
182,Southeast Asia,MASE_MEA_L,MSEM,MSEM,MSEM,"massive, sub-massive, encrusting mendroid",Hard corals,MASE: Lobophyllia,LOBO,Lobophyllia sp.
183,Southeast Asia,MASE_MEA_O,MSEM,MSEM,MSEM,"massive, sub-massive, encrusting mendroid",Hard corals,MASE: Meandering Other ,MASE_MEA_O,Massive Submassive Encrusting colonies with meandering ridges and valleys resembling brain: Platygyra; Leptoria; Goniastrea
184,Southeast Asia,MASE_SML_O,MSE,MSE,MSE,"massive, sub-massive, encrusting",Hard corals,MASE: Small or Invis Polyps,MASE_SML_O,Massive Submassive Encrusting colonies with small or invisible polyps  (including columnar forms): Pavona; Psammocorra; Coscinaraea; Gardineroseris
185,Southeast Asia,MASE_SMO_P,MSE,MSE,MSE,"massive, sub-massive, encrusting",Hard corals,MASE: Porites ,POR-MASS,Family Poritidae; massive/sub-massive morphology e.g. P. loACR_BRAta; P. lutea
186,Southeast Asia,MINV_COTS,OTHER,OTHER,OTHER,mobile invertebrates,Other Invertebrates,Crown of Thorns Sea Star ,COTS,Crown of Thorns Sea Star 
